2theta,intensity,,,,
53.72,16.7708,,,,
53.8,15.5208,,,,
53.88,18.4375,,,,
53.96,17.7083,,,,
54.04,17.7083,,,,
54.12,21.3542,,,,
54.2,14.1667,,,,
54.28,20.2083,,,,
54.36,18.4375,,,,
54.44,18.125,,,,
54.52,18.5417,,,,
54.6,19.2708,,,,
54.68,20.8333,,,,
54.76,18.125,,,,
54.84,22.7083,,,,
54.92,21.9792,,,,
55,22.8125,,,,
55.08,26.4583,,,,
55.16,27.8125,,,,
55.24,28.6458,,,,
55.32,30.4167,,,,
55.4,30,,,,
55.48,28.6458,,,,
55.56,32.6042,,,,
55.64,38.75,,,,
55.72,36.7708,,,,
55.8,42.1875,,,,
55.88,45.8333,,,,
55.96,46.9792,,,,
56.04,43.125,,,,
56.12,46.875,,,,
56.2,49.1667,,,,
56.28,51.4583,,,,
56.36,50,,,,
56.44,53.8542,,,,
56.52,51.25,,,,
56.6,48.125,,,,
56.68,46.6667,,,,
56.76,46.875,,,,
56.84,47.3958,,,,
56.92,51.4583,,,,
57,41.1458,,,,
57.08,40.625,,,,
57.16,38.75,,,,
57.24,36.25,,,,
57.32,36.6667,,,,
57.4,34.6875,,,,
57.48,34.4792,,,,
57.56,32.7083,,,,
57.64,32.5,,,,
57.72,28.125,,,,
57.8,32.0833,,,,
57.88,25.7292,,,,
57.96,29.0625,,,,
58.04,24.375,,,,
58.12,25.5208,,,,
58.2,25.625,,,,
58.28,27.8125,,,,
58.36,25.7292,,,,
58.44,22.0833,,,,
58.52,24.7917,,,,
58.6,27.7083,,,,
58.68,27.0833,,,,
58.76,28.2292,,,,
58.84,29.0625,,,,
58.92,32.1875,,,,
59,29.2708,,,,
59.08,36.7708,,,,
59.16,34.6875,,,,
59.24,39.7917,,,,
59.32,41.4583,,,,
59.4,45.5208,,,,
59.48,46.5625,,,,
59.56,56.25,,,,
59.64,59.0625,,,,
59.72,66.4583,,,,
59.8,72.7083,,,,
59.88,74.2708,,,,
59.96,81.3542,,,,
60.04,84.375,,,,
60.12,84.7917,,,,
60.2,90,,,,
60.28,97.0833,,,,
60.36,98.4375,,,,
60.44,97.6042,,,,
60.52,85.625,,,,
60.6,85.8333,,,,
60.68,85.7292,,,,
60.76,80.8333,,,,
60.84,72.9167,,,,
60.92,72.1875,,,,
61,64.7917,,,,
61.08,60.3125,,,,
61.16,51.5625,,,,
61.24,50.5208,,,,
61.32,40.3125,,,,
61.4,38.5417,,,,
61.48,33.8542,,,,
61.56,29.7917,,,,
61.64,28.3333,,,,
61.72,28.2292,,,,
61.8,25,,,,
61.88,24.7917,,,,
61.96,21.9792,,,,
62.04,21.0417,,,,
62.12,18.4375,,,,
62.2,16.4583,,,,
62.28,16.9792,,,,
62.36,15.4167,,,,
62.44,14.6875,,,,
62.52,13.4375,,,,
62.6,15.1042,,,,
62.68,14.4792,,,,
62.76,12.5,,,,
62.84,12.8125,,,,
62.92,12.5,,,,
63,12.8125,,,,
63.08,11.7708,,,,
63.16,12.1875,,,,
63.24,9.89583,,,,
63.32,12.6042,,,,
63.4,9.79167,,,,
63.48,13.6458,,,,
63.56,9.89583,,,,
63.64,10.9375,,,,
63.72,11.25,,,,
63.8,11.0417,,,,
63.88,10.7292,,,,
63.96,10.3125,,,,
64.04,9.47917,,,,
64.12,10.9375,,,,
64.2,11.4583,,,,
64.28,10.9375,,,,
64.36,12.5,,,,
64.44,12.2917,,,,
64.52,11.25,,,,
64.6,13.125,,,,
64.68,14.0625,,,,
64.76,15.7292,,,,
64.84,15.3125,,,,
64.92,18.3333,,,,
65,22.5,,,,
65.08,19.7917,,,,
65.16,26.7708,,,,
65.24,38.6458,,,,
65.32,46.3542,,,,
65.4,57.0833,,,,
65.48,73.9583,,,,
65.56,75.9375,,,,
65.64,66.5625,,,,
65.72,61.875,,,,
65.8,45.8333,,,,
65.88,41.875,,,,
65.96,33.75,,,,
66.04,31.1458,,,,
66.12,23.4375,,,,
66.2,23.8542,,,,
66.28,21.6667,,,,
66.36,21.9792,,,,
66.44,20.7292,,,,
66.52,18.8542,,,,
66.6,22.2917,,,,
66.68,19.0625,,,,
66.76,24.1667,,,,
66.84,24.1667,,,,
66.92,27.3958,,,,
67,27.3958,,,,
67.08,27.1875,,,,
67.16,28.75,,,,
67.24,26.0417,,,,
67.32,27.7083,,,,
67.4,28.4375,,,,
67.48,26.5625,,,,
67.56,23.5417,,,,
67.64,26.25,,,,
67.72,24.1667,,,,
67.8,23.6458,,,,
67.88,24.4792,,,,
67.96,27.1875,,,,
68.04,27.1875,,,,
68.12,35.3125,,,,
68.2,32.2917,,,,
68.28,34.2708,,,,
68.36,41.7708,,,,
68.44,42.2917,,,,
68.52,43.5417,,,,
68.6,45.9375,,,,
68.68,47.9167,,,,
68.76,55.4167,,,,
68.84,55.1042,,,,
68.92,55.3125,,,,
69,53.4375,,,,
69.08,60,,,,
69.16,58.6458,,,,
69.24,62.5,,,,
69.32,63.2292,,,,
69.4,59.8958,,,,
69.48,60.9375,,,,
69.56,68.3333,,,,
69.64,68.75,,,,
69.72,69.1667,,,,
69.8,64.0625,,,,
69.88,63.2292,,,,
69.96,63.5417,,,,
70.04,59.4792,,,,
70.12,51.0417,,,,
70.2,52.6042,,,,
70.28,49.5833,,,,
70.36,43.0208,,,,
70.44,44.1667,,,,
70.52,37.7083,,,,
70.6,34.2708,,,,
70.68,33.6458,,,,
70.76,33.0208,,,,
70.84,31.5625,,,,
70.92,26.7708,,,,
71,27.7083,,,,
71.08,23.5417,,,,
71.16,21.0417,,,,
71.24,24.5833,,,,
71.32,19.7917,,,,
71.4,18.9583,,,,
