2theta,intensity,,,,
21.36,400,,,,
21.4,329.167,,,,
21.44,383.333,,,,
21.48,412.5,,,,
21.52,406.25,,,,
21.56,466.667,,,,
21.6,418.75,,,,
21.64,477.083,,,,
21.68,437.5,,,,
21.72,439.583,,,,
21.76,393.75,,,,
21.8,420.833,,,,
21.84,343.75,,,,
21.88,512.5,,,,
21.92,462.5,,,,
21.96,450,,,,
22,395.833,,,,
22.04,437.5,,,,
22.08,387.5,,,,
22.12,466.667,,,,
22.16,416.667,,,,
22.2,452.083,,,,
22.24,402.083,,,,
22.28,450,,,,
22.32,483.333,,,,
22.36,425,,,,
22.4,400,,,,
22.44,443.75,,,,
22.48,452.083,,,,
22.52,454.167,,,,
22.56,454.167,,,,
22.6,510.417,,,,
22.64,437.5,,,,
22.68,466.667,,,,
22.72,429.167,,,,
22.76,472.917,,,,
22.8,416.667,,,,
22.84,447.917,,,,
22.88,456.25,,,,
22.92,477.083,,,,
22.96,452.083,,,,
23,460.417,,,,
23.04,466.667,,,,
23.08,495.833,,,,
23.12,510.417,,,,
23.16,475,,,,
23.2,487.5,,,,
23.24,406.25,,,,
23.28,443.75,,,,
23.32,454.167,,,,
23.36,479.167,,,,
23.4,462.5,,,,
23.44,487.5,,,,
23.48,470.833,,,,
23.52,420.833,,,,
23.56,456.25,,,,
23.6,506.25,,,,
23.64,514.583,,,,
23.68,435.417,,,,
23.72,422.917,,,,
23.76,466.667,,,,
23.8,489.583,,,,
23.84,485.417,,,,
23.88,483.333,,,,
23.92,500,,,,
23.96,466.667,,,,
24,460.417,,,,
24.04,427.083,,,,
24.08,483.333,,,,
24.12,435.417,,,,
24.16,531.25,,,,
24.2,466.667,,,,
24.24,508.333,,,,
24.28,566.667,,,,
24.32,570.833,,,,
24.36,554.167,,,,
24.4,562.5,,,,
24.44,608.333,,,,
24.48,518.75,,,,
24.52,554.167,,,,
24.56,506.25,,,,
24.6,539.583,,,,
24.64,512.5,,,,
24.68,543.75,,,,
24.72,554.167,,,,
24.76,510.417,,,,
24.8,545.833,,,,
24.84,508.333,,,,
24.88,433.333,,,,
24.92,564.583,,,,
24.96,506.25,,,,
25,491.667,,,,
25.04,425,,,,
25.08,489.583,,,,
25.12,481.25,,,,
25.16,512.5,,,,
25.2,543.75,,,,
25.24,479.167,,,,
25.28,475,,,,
25.32,514.583,,,,
25.36,485.417,,,,
25.4,477.083,,,,
25.44,468.75,,,,
25.48,472.917,,,,
25.52,470.833,,,,
25.56,427.083,,,,
25.6,470.833,,,,
25.64,493.75,,,,
25.68,443.75,,,,
25.72,489.583,,,,
25.76,489.583,,,,
25.8,516.667,,,,
25.84,522.917,,,,
25.88,491.667,,,,
25.92,518.75,,,,
25.96,520.833,,,,
26,491.667,,,,
26.04,512.5,,,,
26.08,535.417,,,,
26.12,564.583,,,,
26.16,554.167,,,,
26.2,635.417,,,,
26.24,579.167,,,,
26.28,645.833,,,,
26.32,752.083,,,,
26.36,777.083,,,,
26.4,833.333,,,,
26.44,887.5,,,,
26.48,1047.92,,,,
26.52,1050,,,,
26.56,1158.33,,,,
26.6,1150,,,,
26.64,1043.75,,,,
26.68,868.75,,,,
26.72,825,,,,
26.76,772.917,,,,
26.8,677.083,,,,
26.84,664.583,,,,
26.88,647.917,,,,
26.92,618.75,,,,
26.96,564.583,,,,
27,485.417,,,,
27.04,510.417,,,,
27.08,520.833,,,,
27.12,470.833,,,,
27.16,508.333,,,,
27.2,493.75,,,,
27.24,510.417,,,,
27.28,452.083,,,,
27.32,466.667,,,,
27.36,439.583,,,,
27.4,464.583,,,,
27.44,447.917,,,,
27.48,441.667,,,,
27.52,447.917,,,,
27.56,422.917,,,,
27.6,445.833,,,,
27.64,420.833,,,,
27.68,375,,,,
27.72,456.25,,,,
27.76,400,,,,
27.8,375,,,,
27.84,456.25,,,,
27.88,385.417,,,,
27.92,354.167,,,,
27.96,347.917,,,,
28,387.5,,,,
28.04,333.333,,,,
28.08,391.667,,,,
28.12,368.75,,,,
28.16,364.583,,,,
28.2,372.917,,,,
28.24,381.25,,,,
28.28,325,,,,
28.32,431.25,,,,
28.36,383.333,,,,
28.4,352.083,,,,
28.44,362.5,,,,
28.48,364.583,,,,
28.52,393.75,,,,
28.56,360.417,,,,
28.6,347.917,,,,
28.64,339.583,,,,
28.68,356.25,,,,
28.72,337.5,,,,
28.76,347.917,,,,
28.8,391.667,,,,
28.84,356.25,,,,
28.88,404.167,,,,
28.92,387.5,,,,
28.96,364.583,,,,
29,318.75,,,,
29.04,325,,,,
29.08,356.25,,,,
29.12,352.083,,,,
29.16,404.167,,,,
29.2,320.833,,,,
29.24,377.083,,,,
29.28,331.25,,,,
29.32,312.5,,,,
29.36,304.167,,,,
29.4,337.5,,,,
29.44,383.333,,,,
29.48,322.917,,,,
29.52,356.25,,,,
29.56,341.667,,,,
29.6,356.25,,,,
29.64,397.917,,,,
29.68,304.167,,,,
29.72,352.083,,,,
29.76,327.083,,,,
29.8,350,,,,
29.84,370.833,,,,
29.88,337.5,,,,
29.92,308.333,,,,
29.96,339.583,,,,
30,397.917,,,,
30.04,347.917,,,,
30.08,366.667,,,,
30.12,354.167,,,,
30.16,279.167,,,,
30.2,320.833,,,,
30.24,339.583,,,,
