2theta,intensity,,,,
27.88,421.25,,,,
27.92,406.667,,,,
27.96,410.833,,,,
28,370,,,,
28.04,429.583,,,,
28.08,390.417,,,,
28.12,406.25,,,,
28.16,385.833,,,,
28.2,386.25,,,,
28.24,388.75,,,,
28.28,384.167,,,,
28.32,398.75,,,,
28.36,393.75,,,,
28.4,391.25,,,,
28.44,393.75,,,,
28.48,383.333,,,,
28.52,357.917,,,,
28.56,378.75,,,,
28.6,370.833,,,,
28.64,385.417,,,,
28.68,350,,,,
28.72,380.833,,,,
28.76,374.583,,,,
28.8,375.833,,,,
28.84,370.833,,,,
28.88,389.167,,,,
28.92,375.833,,,,
28.96,370.833,,,,
29,374.167,,,,
29.04,346.667,,,,
29.08,387.917,,,,
29.12,362.5,,,,
29.16,340,,,,
29.2,344.167,,,,
29.24,358.75,,,,
29.28,345.833,,,,
29.32,360.417,,,,
29.36,382.083,,,,
29.4,362.5,,,,
29.44,351.667,,,,
29.48,347.5,,,,
29.52,360.833,,,,
29.56,349.583,,,,
29.6,351.25,,,,
29.64,350.833,,,,
29.68,338.75,,,,
29.72,360,,,,
29.76,326.25,,,,
29.8,350.417,,,,
29.84,325,,,,
29.88,347.083,,,,
29.92,339.583,,,,
29.96,325,,,,
30,340,,,,
30.04,337.083,,,,
30.08,353.75,,,,
30.12,338.75,,,,
30.16,344.583,,,,
30.2,327.083,,,,
30.24,343.333,,,,
30.28,312.5,,,,
30.32,341.667,,,,
30.36,322.5,,,,
30.4,327.083,,,,
30.44,331.25,,,,
30.48,327.5,,,,
30.52,345.417,,,,
30.56,347.083,,,,
30.6,347.917,,,,
30.64,343.75,,,,
30.68,358.75,,,,
30.72,335.833,,,,
30.76,342.917,,,,
30.8,321.25,,,,
30.84,331.25,,,,
30.88,340,,,,
30.92,346.667,,,,
30.96,346.25,,,,
31,370.833,,,,
31.04,387.083,,,,
31.08,391.667,,,,
31.12,447.917,,,,
31.16,563.333,,,,
31.2,768.333,,,,
31.24,979.167,,,,
31.28,1102.08,,,,
31.32,1114.17,,,,
31.36,1050,,,,
31.4,936.667,,,,
31.44,792.5,,,,
31.48,748.333,,,,
31.52,685.833,,,,
31.56,618.75,,,,
31.6,595,,,,
31.64,582.5,,,,
31.68,528.75,,,,
31.72,512.083,,,,
31.76,504.167,,,,
31.8,479.167,,,,
31.84,454.583,,,,
31.88,442.917,,,,
31.92,441.25,,,,
