2theta,intensity,,,,
48.72,222.917,,,,
48.76,197.917,,,,
48.8,202.917,,,,
48.84,228.75,,,,
48.88,212.5,,,,
48.92,209.167,,,,
48.96,208.75,,,,
49,214.167,,,,
49.04,197.5,,,,
49.08,207.083,,,,
49.12,193.333,,,,
49.16,222.5,,,,
49.2,204.583,,,,
49.24,223.75,,,,
49.28,219.167,,,,
49.32,225.417,,,,
49.36,212.083,,,,
49.4,223.333,,,,
49.44,238.75,,,,
49.48,214.167,,,,
49.52,212.083,,,,
49.56,215.417,,,,
49.6,231.667,,,,
49.64,225.833,,,,
49.68,240.417,,,,
49.72,237.5,,,,
49.76,237.083,,,,
49.8,242.5,,,,
49.84,234.583,,,,
49.88,229.583,,,,
49.92,232.083,,,,
49.96,243.333,,,,
50,233.75,,,,
