波長 (nm),0 mV,50 mV,100 mV,150 mV,200 mV,300 mV,400 mV,500 mV,600 mV,700 mV,800 mV,100-0,200-100,300-200,400-300,500-400,600-500,700-600,800-700,800 - 500,500 - 300,Raw data name,Mod column name
381,-0.001,0.002,0.014,0.017,0.023,0.026,0.028,0.034,0.031,0.039,0.04,0.015,0.009,0.003,0.002,0.006,-0.003,0.008,0.001,0.006,0.007,,
382,-0.002,0.005,0.006,0.013,0.022,0.03,0.026,0.032,0.033,0.037,0.041,0.008,0.016,0.008,-0.004,0.006,0.001,0.004,0.004,0.009,0.002,,
383,0,0.007,0.011,0.015,0.023,0.033,0.033,0.039,0.039,0.036,0.043,0.011,0.012,0.01,0,0.006,0,-0.003,0.007,0.004,0.006,,
384,0,0.008,0.008,0.017,0.024,0.023,0.026,0.039,0.036,0.043,0.04,0.008,0.016,-0.001,0.003,0.013,-0.003,0.007,-0.003,0.001,0.016,,
385,-0.004,0.005,0.009,0.013,0.016,0.026,0.029,0.036,0.031,0.037,0.041,0.013,0.007,0.01,0.003,0.007,-0.005,0.006,0.004,0.005,0.009,,
386,0.004,0.009,0.013,0.018,0.021,0.032,0.036,0.043,0.04,0.044,0.042,0.009,0.008,0.011,0.004,0.007,-0.003,0.004,-0.002,-0.002,0.012,,
387,0.003,0.01,0.011,0.015,0.024,0.03,0.032,0.041,0.04,0.047,0.046,0.008,0.013,0.006,0.002,0.009,-0.001,0.007,-0.001,0.005,0.011,,
388,-0.005,0.005,0.005,0.017,0.019,0.023,0.026,0.032,0.034,0.036,0.042,0.01,0.014,0.004,0.003,0.006,0.002,0.002,0.006,0.01,0.009,,
389,0.003,0.008,0.01,0.018,0.027,0.029,0.033,0.035,0.033,0.043,0.046,0.007,0.017,0.002,0.004,0.002,-0.002,0.01,0.003,0.011,0.006,,
390,0.002,0.009,0.01,0.017,0.023,0.029,0.03,0.033,0.042,0.044,0.043,0.008,0.013,0.006,0.001,0.003,0.009,0.002,-0.001,0.01,0.005,,
391,-0.004,0.004,0.004,0.013,0.017,0.02,0.031,0.032,0.033,0.037,0.04,0.008,0.013,0.003,0.011,0.001,0.001,0.004,0.003,0.008,0.012,,
392,-0.001,0.008,0.009,0.015,0.026,0.031,0.027,0.038,0.039,0.043,0.047,0.01,0.017,0.005,-0.004,0.011,0.001,0.004,0.004,0.009,0.008,,
393,0.001,0.005,0.014,0.012,0.022,0.028,0.032,0.036,0.04,0.04,0.046,0.013,0.008,0.006,0.004,0.004,0.004,0,0.006,0.01,0.008,,
394,0,0.004,0.01,0.013,0.026,0.026,0.035,0.04,0.038,0.044,0.045,0.01,0.016,0,0.009,0.005,-0.002,0.006,0.001,0.005,0.014,,
395,0.005,0.008,0.012,0.019,0.029,0.031,0.04,0.039,0.043,0.044,0.039,0.007,0.017,0.002,0.009,-0.001,0.004,0.001,-0.005,0,0.007,,
396,0.002,0.01,0.012,0.011,0.023,0.03,0.033,0.037,0.038,0.044,0.044,0.01,0.011,0.007,0.003,0.004,0.001,0.006,0,0.008,0.006,,
397,0,0.007,0.013,0.02,0.026,0.029,0.036,0.042,0.039,0.045,0.045,0.013,0.013,0.003,0.007,0.006,-0.003,0.006,0,0.002,0.013,,
398,-0.002,0.004,0.011,0.016,0.024,0.026,0.033,0.039,0.042,0.039,0.043,0.013,0.013,0.002,0.007,0.006,0.003,-0.003,0.004,0.004,0.013,,
399,0.004,0.006,0.009,0.017,0.03,0.033,0.037,0.039,0.04,0.046,0.049,0.005,0.021,0.003,0.004,0.002,0.001,0.006,0.003,0.01,0.005,,
400,0.001,0.004,0.012,0.015,0.023,0.027,0.036,0.038,0.041,0.042,0.038,0.011,0.011,0.004,0.009,0.002,0.003,0.001,-0.004,0,0.011,,
401,0.006,0.01,0.008,0.017,0.023,0.033,0.036,0.043,0.037,0.045,0.047,0.002,0.015,0.01,0.003,0.007,-0.006,0.008,0.002,0.005,0.01,,
402,0,0.004,0.003,0.014,0.022,0.029,0.033,0.037,0.037,0.043,0.041,0.003,0.019,0.007,0.004,0.004,0,0.006,-0.002,0.004,0.009,,
403,0.001,0.003,0.008,0.013,0.02,0.028,0.032,0.037,0.038,0.041,0.045,0.007,0.012,0.008,0.004,0.005,0.001,0.003,0.004,0.007,0.01,,
404,0.004,0.01,0.008,0.017,0.026,0.031,0.033,0.038,0.045,0.04,0.04,0.004,0.018,0.005,0.002,0.005,0.007,-0.005,0,0.002,0.007,,
405,0,0.005,0.009,0.015,0.025,0.029,0.035,0.035,0.042,0.044,0.046,0.009,0.016,0.004,0.006,0,0.007,0.002,0.002,0.011,0.006,,
