2theta,intensity,,,,
20.4,277.5,,,,
20.44,295,,,,
20.48,308.75,,,,
20.52,262.5,,,,
20.56,287.083,,,,
20.6,292.5,,,,
20.64,281.667,,,,
20.68,286.25,,,,
20.72,273.333,,,,
20.76,297.083,,,,
20.8,307.083,,,,
20.84,281.25,,,,
20.88,297.5,,,,
20.92,295,,,,
20.96,305.417,,,,
21,299.583,,,,
21.04,309.583,,,,
21.08,304.167,,,,
21.12,306.667,,,,
21.16,312.5,,,,
21.2,315,,,,
21.24,325,,,,
21.28,317.083,,,,
21.32,312.083,,,,
21.36,312.917,,,,
21.4,302.083,,,,
21.44,324.583,,,,
21.48,327.083,,,,
21.52,312.917,,,,
21.56,341.667,,,,
21.6,318.75,,,,
21.64,320.833,,,,
21.68,324.583,,,,
21.72,330.833,,,,
21.76,325.833,,,,
21.8,340,,,,
21.84,339.583,,,,
21.88,359.583,,,,
21.92,327.5,,,,
21.96,347.5,,,,
22,333.75,,,,
22.04,353.333,,,,
22.08,334.167,,,,
22.12,337.083,,,,
22.16,346.667,,,,
22.2,361.25,,,,
22.24,310,,,,
22.28,358.333,,,,
22.32,362.083,,,,
22.36,340.833,,,,
22.4,333.333,,,,
22.44,337.083,,,,
22.48,334.583,,,,
22.52,375,,,,
22.56,366.25,,,,
22.6,352.917,,,,
22.64,353.333,,,,
22.68,346.25,,,,
22.72,352.5,,,,
22.76,376.25,,,,
22.8,337.917,,,,
22.84,327.083,,,,
22.88,355.417,,,,
22.92,344.583,,,,
22.96,368.333,,,,
23,348.333,,,,
23.04,374.167,,,,
23.08,350.833,,,,
23.12,371.25,,,,
23.16,373.75,,,,
23.2,372.083,,,,
23.24,327.083,,,,
23.28,365,,,,
23.32,360.417,,,,
23.36,365.833,,,,
23.4,359.583,,,,
23.44,350.833,,,,
23.48,354.583,,,,
23.52,359.167,,,,
23.56,374.167,,,,
23.6,377.083,,,,
23.64,352.917,,,,
23.68,382.083,,,,
23.72,381.25,,,,
23.76,379.167,,,,
23.8,367.083,,,,
23.84,377.083,,,,
23.88,357.917,,,,
23.92,365,,,,
23.96,372.917,,,,
24,360,,,,
24.04,372.5,,,,
24.08,409.167,,,,
24.12,377.5,,,,
24.16,371.667,,,,
24.2,383.333,,,,
24.24,388.75,,,,
24.28,355.833,,,,
24.32,403.333,,,,
24.36,432.083,,,,
24.4,440.833,,,,
24.44,438.75,,,,
24.48,426.25,,,,
24.52,416.25,,,,
24.56,415.417,,,,
24.6,411.667,,,,
24.64,409.583,,,,
24.68,431.667,,,,
24.72,414.583,,,,
24.76,413.333,,,,
24.8,392.083,,,,
24.84,412.083,,,,
24.88,406.25,,,,
24.92,390.417,,,,
24.96,413.333,,,,
25,394.167,,,,
25.04,405.417,,,,
25.08,391.25,,,,
25.12,391.667,,,,
25.16,400.417,,,,
25.2,414.583,,,,
25.24,420.833,,,,
25.28,391.667,,,,
25.32,402.083,,,,
25.36,405,,,,
25.4,412.5,,,,
25.44,395.417,,,,
25.48,395.417,,,,
25.52,384.167,,,,
25.56,432.083,,,,
25.6,424.167,,,,
25.64,397.083,,,,
25.68,422.917,,,,
25.72,428.333,,,,
25.76,400.833,,,,
25.8,430.833,,,,
25.84,448.333,,,,
25.88,430.833,,,,
25.92,470.833,,,,
25.96,446.667,,,,
26,447.5,,,,
26.04,477.917,,,,
26.08,465.833,,,,
26.12,465.417,,,,
26.16,512.5,,,,
26.2,517.917,,,,
26.24,522.5,,,,
26.28,550.417,,,,
26.32,622.917,,,,
26.36,692.5,,,,
26.4,760,,,,
26.44,868.333,,,,
26.48,985.417,,,,
26.52,1157.5,,,,
26.56,1130,,,,
26.6,1086.67,,,,
26.64,975.833,,,,
26.68,831.25,,,,
26.72,776.667,,,,
26.76,632.083,,,,
26.8,642.917,,,,
26.84,558.75,,,,
26.88,531.25,,,,
26.92,510.417,,,,
26.96,495.833,,,,
27,479.167,,,,
27.04,451.25,,,,
27.08,438.75,,,,
27.12,434.167,,,,
27.16,428.333,,,,
27.2,415.833,,,,
27.24,420.833,,,,
27.28,405.417,,,,
27.32,419.583,,,,
27.36,391.25,,,,
27.4,393.75,,,,
27.44,413.333,,,,
27.48,381.667,,,,
27.52,393.333,,,,
27.56,403.333,,,,
27.6,397.917,,,,
27.64,394.167,,,,
27.68,397.5,,,,
27.72,406.667,,,,
27.76,405.833,,,,
27.8,384.583,,,,
27.84,406.25,,,,
27.88,411.667,,,,
27.92,397.5,,,,
27.96,402.917,,,,
28,421.667,,,,
28.04,438.333,,,,
28.08,457.5,,,,
28.12,415.417,,,,
28.16,445.417,,,,
28.2,427.083,,,,
28.24,457.083,,,,
28.28,440.417,,,,
28.32,462.917,,,,
28.36,472.5,,,,
28.4,452.5,,,,
28.44,451.667,,,,
28.48,468.75,,,,
28.52,464.167,,,,
28.56,457.917,,,,
28.6,446.667,,,,
28.64,455.833,,,,
28.68,479.583,,,,
28.72,464.583,,,,
28.76,454.167,,,,
28.8,456.667,,,,
28.84,459.583,,,,
28.88,452.5,,,,
28.92,427.5,,,,
28.96,422.5,,,,
29,438.75,,,,
29.04,418.333,,,,
29.08,387.917,,,,
29.12,420.417,,,,
29.16,425.417,,,,
29.2,398.333,,,,
29.24,370.417,,,,
29.28,387.083,,,,
29.32,371.667,,,,
29.36,388.333,,,,
29.4,370.417,,,,
29.44,360,,,,
29.48,361.667,,,,
29.52,365.833,,,,
29.56,334.167,,,,
29.6,357.083,,,,
29.64,300,,,,
29.68,318.75,,,,
29.72,326.667,,,,
29.76,318.75,,,,
29.8,310,,,,
29.84,293.333,,,,
29.88,285.417,,,,
29.92,292.083,,,,
29.96,275.417,,,,
30,299.583,,,,
30.04,305,,,,
30.08,272.083,,,,
30.12,280,,,,
30.16,268.333,,,,
30.2,275.417,,,,
30.24,287.5,,,,
30.28,279.583,,,,
30.32,280.417,,,,
30.36,295,,,,
30.4,282.917,,,,
30.44,265,,,,
30.48,278.75,,,,
30.52,283.75,,,,
30.56,275.417,,,,
30.6,278.75,,,,
30.64,262.917,,,,
30.68,262.5,,,,
30.72,265,,,,
30.76,269.583,,,,
30.8,276.667,,,,
